Abbreviated sample name (numerically ordered),"STRUCTURE ""grouping"""
361,emoryi
410,hypo.
414,emoryi
416,hypo.
443,canbyi
543,canbyi
896,hypo.
907,hypo.
1178,hypo.
1228,emoryi
1234,hypo.
180,hypo.
268,hypo.
SH-Q1902,grav. x emoryi
SH-Q1905,grav. x emoryi
6099,canbyi
6235,canbyi
6484,emoryi
6485,grav. x emoryi
6487,grav. x emoryi
6531,grav. x emoryi
6533,emoryi
6539,grav. x emoryi
6540,grav. x emoryi
6541,grav. x emoryi
6542,grav. x emoryi
6543,grav. x emoryi
6546,grav. x emoryi
6548,emoryi
6549,emoryi
6550,emoryi
6552,emoryi
6553,gravesii
6556,gravesii
6557,gravesii
6558,gravesii
6583,grav. x emoryi
6588,gravesii
6589,gravesii
6590,gravesii
6594,gravesii
6595,grav. x emoryi
6599,emoryi
6610,grav. x emoryi
6625,gravesii
6626,gravesii
6627,gravesii
6628,gravesii
6629,hypo.
6630,grav. x hypo.
6632,grav. x hypo.
6633,hypo.
6634,grav. x hypo.
6635,grav. x hypo.
6636,hypo.
6637,grav. x hypo.
6639,grav. x hypo.
6640,emoryi
6654,grav. x hypo.
6656,tardifolia
6694,emoryi
6698,tardifolia
6699,tardifolia
6700,emoryi
6704,emoryi
7262,gravesii
7263,hypo.
7267,gravesii
7268,gravesii
7269,tardifolia
7270,tardifolia
7271,tardifolia
7272,tardifolia
7274,hypo.
7275,hypo.
7277,emoryi
7278,tardifolia
7280,hypo.
7305,canbyi
7319,canbyi
7328,canbyi
7329,canbyi
7351,canbyi
7352,canbyi
